Prenom,Nom,Nom Complet,Identifiant,Adresse Mail,Societe,Site,Departement,Service,Fonction,Manager-Prenom,Manager-Nom,Nom de PC,Marque PC,Date de naissance,Telephone fixe,Telephone portable,Télétravail
Aaron,Roche,Aaron Roche,,,EcoTechSolutions,Bordeaux,DSI,Exploitation,Technicien d'exploitation,Anthony,Noel,PA76820,DELL,20/10/2001  ,0512345678,0673124437  ,Non
Alan,Meunier,Alan Meunier,,,EcoTechSolutions,Bordeaux,DSI,Exploitation,Technicien d'exploitation,Anthony,Noel,PA21577,DELL,02/08/1995  ,0576543210,0687340310  ,Non
Alex,Barbier,Alex Barbier,,,EcoTechSolutions,Bordeaux,Finance et Comptabilité,Finance,Analyste financier,Yacine,Hamad,PA34551,TOSHIBA,21/10/1992  ,0532109876,-,Non
Anthony,Noel,Anthony Noel,,,EcoTechSolutions,Bordeaux,DSI,-,Directeur des systèmes d'information,Rémy,Lobosse,PA85785,DELL,31/10/1990  ,0532109876,0663073894  ,Non
Antoine,Dubois,Antoine Dubois,,,EcoTechSolutions,Bordeaux,Direction,-,Assistant de direction,Rémy,Lobosse,PA75792,TOSHIBA,12/12/1998  ,0532109876,0757172438  ,Non
Arnoovik,Jlecht,Arnoovik Jlecht,,,EcoTechSolutions,Bordeaux,Service Commercial,ADV,Gestionnaire ADV,Bastien,Lucas,PA16353,DELL,19/11/2001  ,0512345678,0763236659  ,Non
Bastien,Lucas,Bastien Lucas,,,EcoTechSolutions,Bordeaux,Service Commercial,ADV,Responsable ADV,Pierre,David,PA16564,DELL,16/07/1988  ,0512345678,0697336293  ,Non
Célia,Da Silva,Célia Da Silva,,,EcoTechSolutions,Bordeaux,Direction des Ressources Humaines,-,Agent RH,Christophe,Leroux,PA66766,HP,31/07/1986  ,0545678901,-,Non
Charles,Marchand,Charles Marchand,,,EcoTechSolutions,Bordeaux,Service Commercial,Service achat,Acheteur,Kylian,Martinez,PA16013,DELL,29/04/1999  ,0556789012,0654606027  ,Non
Chloé,Dubois,Chloé Dubois,,,EcoTechSolutions,Bordeaux,Développement,Développement,Développeur,Sofia,Rossi,PA69037,HP,01/06/1993  ,-,-,Non
